month,aggregation,variable,value
ALL,TOTAL,responses,11089
ALL,TOTAL,rated_good_or_excellent,0.943
ALL,TOTAL,nps,9.151
2025-01-01,BY_MONTH,responses,1341
2025-01-01,BY_MONTH,rated_good_or_excellent,0.893
2025-01-01,BY_MONTH,nps,9.013
2025-02-01,BY_MONTH,responses,234
2025-02-01,BY_MONTH,rated_good_or_excellent,0.983
2025-02-01,BY_MONTH,nps,9.483
2025-03-01,BY_MONTH,responses,327
2025-03-01,BY_MONTH,rated_good_or_excellent,0.917
2025-03-01,BY_MONTH,nps,9.245
2025-04-01,BY_MONTH,responses,633
2025-04-01,BY_MONTH,rated_good_or_excellent,0.942
2025-04-01,BY_MONTH,nps,9.294
2025-05-01,BY_MONTH,responses,499
2025-05-01,BY_MONTH,rated_good_or_excellent,0.936
2025-05-01,BY_MONTH,nps,9.1
2025-06-01,BY_MONTH,responses,183
2025-06-01,BY_MONTH,rated_good_or_excellent,0.929
2025-06-01,BY_MONTH,nps,9.055
2025-07-01,BY_MONTH,responses,784
2025-07-01,BY_MONTH,rated_good_or_excellent,0.954
2025-07-01,BY_MONTH,nps,9.241
2025-08-01,BY_MONTH,responses,1415
2025-08-01,BY_MONTH,rated_good_or_excellent,0.977
2025-08-01,BY_MONTH,nps,9.47
2025-09-01,BY_MONTH,responses,1547
2025-09-01,BY_MONTH,rated_good_or_excellent,0.97
2025-09-01,BY_MONTH,nps,9.423
2025-10-01,BY_MONTH,responses,844
2025-10-01,BY_MONTH,rated_good_or_excellent,0.959
2025-10-01,BY_MONTH,nps,9.23
2025-11-01,BY_MONTH,responses,1553
2025-11-01,BY_MONTH,rated_good_or_excellent,0.945
2025-11-01,BY_MONTH,nps,8.91
2025-12-01,BY_MONTH,responses,1150
2025-12-01,BY_MONTH,rated_good_or_excellent,0.925
2025-12-01,BY_MONTH,nps,8.985
2026-01-01,BY_MONTH,responses,579
2026-01-01,BY_MONTH,rated_good_or_excellent,0.917
2026-01-01,BY_MONTH,nps,8.434
