aggregation,month,variable,value
BY_MONTH,2024-06-01,tickets_sold,10
BY_MONTH,2024-07-01,tickets_sold,57
BY_MONTH,2024-08-01,tickets_sold,600
BY_MONTH,2024-09-01,tickets_sold,594
BY_MONTH,2024-10-01,tickets_sold,686
BY_MONTH,2024-11-01,tickets_sold,9014
BY_MONTH,2024-12-01,tickets_sold,9557
BY_MONTH,2025-01-01,tickets_sold,16420
BY_MONTH,2025-02-01,tickets_sold,3491
BY_MONTH,2025-03-01,tickets_sold,6336
BY_MONTH,2025-04-01,tickets_sold,9295
BY_MONTH,2025-05-01,tickets_sold,8530
BY_MONTH,2025-06-01,tickets_sold,13334
BY_MONTH,2025-07-01,tickets_sold,19679
BY_MONTH,2025-08-01,tickets_sold,17920
BY_MONTH,2025-09-01,tickets_sold,22031
BY_MONTH,2025-10-01,tickets_sold,34336
BY_MONTH,2025-11-01,tickets_sold,20165
BY_MONTH,2025-12-01,tickets_sold,17022
BY_MONTH,2026-01-01,tickets_sold,15918
BY_MONTH,2026-02-01,tickets_sold,4966
