datestamp,centre_name,value
2024-06-01,Cliffe Castle Park - BD20 6,180503
2024-07-01,Cliffe Castle Park - BD20 6,182656
2024-08-01,Cliffe Castle Park - BD20 6,194576
2024-09-01,Cliffe Castle Park - BD20 6,209941
2024-10-01,Cliffe Castle Park - BD20 6,211524
2024-11-01,Cliffe Castle Park - BD20 6,195042
2024-12-01,Cliffe Castle Park - BD20 6,191456
2025-01-01,Cliffe Castle Park - BD20 6,169311
2025-02-01,Cliffe Castle Park - BD20 6,128989
2025-03-01,Cliffe Castle Park - BD20 6,124025
2025-04-01,Cliffe Castle Park - BD20 6,137589
2025-05-01,Cliffe Castle Park - BD20 6,213802
2025-06-01,Cliffe Castle Park - BD20 6,183142
